Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Indications of suppression of excited Υ states in Pb-Pb collisions at s NN= 2.76 TeV,Physical review letters,107,5,052302,2011,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for neutral MSSM Higgs bosons decaying to a pair of tau leptons in pp collisions,Journal of High Energy Physics,2014,10,1-54,2014,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, V; Sirunyan, Albert M; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, Christian; Friedl, Markus; ",Measurement of the tt¯ production cross section in pp collisions at 7 TeV<? format?> in lepton+ jets events using b-quark jet identification,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",84,9,092004,2011,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for narrow resonances using the dijet mass spectrum in pp collisions at s<? format?>=<? format?> 8 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",87,11,114015,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Studies of jet quenching using isolated-photon+ jet correlations in PbPb and pp collisions at sNN= 2.76 TeV,Physics Letters B,718,3,773-794,2013,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for resonances and quantum black holes using dijet mass spectra in proton-proton collisions at s= 8 TeV,Physical Review D,91,5,052009,2015,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Interpretation of searches for supersymmetry with simplified models,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",88,5,052017,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the Λb cross section and the Λ¯ b to Λb ratio with J/ψΛ decays in pp collisions at s= 7 TeV,Physics Letters B,714,2-5,136-157,2012,North-Holland
"CmS Collaboration; ",Search for heavy narrow dilepton resonances in pp collisions at sqrt (s)= 7 TeV and sqrt (s)= 8 TeV,arXiv preprint arXiv:1212.6175,,,,2012,
"CMS collaboration; ",Evidence for associated production of a single top quark and W boson in pp collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1209.3489,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Jet momentum dependence of jet quenching in PbPb collisions at sNN= 2.76 TeV,Physics Letters B,712,3,176-197,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Inclusive and differential measurements of the tt¯ charge asymmetry in proton–proton collisions at s= 7 TeV,Physics Letters B,717,1-3,129-150,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for Signatures of Extra Dimensions in the Diphoton Mass Spectrum at the<? format?> Large Hadron Collider,Physical review letters,108,11,111801,2012,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the charge asymmetry in top-quark pair production in proton–proton collisions at s= 7TeV,Physics Letters B,709,1-2,28-49,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ","Measurement of the Υ (1 S), Υ (2 S), and Υ (3 S) Polarizations in pp Collisions at s= 7 TeV",Physical review letters,110,8,081802,2013,American Physical Society
"CMS Collaboration cms-publication-committee-chair@ cern. ch; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ",Measurement of the W+ W− cross section in pp collisions at s=7TeV and limits on anomalous WW γ and WWZ couplings,The European Physical Journal C,73,,1-22,2013,Springer Berlin Heidelberg
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for physics beyond the standard model in final states with a lepton and missing transverse energy in proton-proton collisions at s= 8 TeV,Physical Review D,91,9,092005,2015,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for resonances in the dijet mass spectrum from 7 TeV pp collisions at CMS,Physics Letters B,704,3,123-142,2011,North-Holland
"ch, CMS Collaboration cms-publication-committee-chair@ cern.; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ","Studies of dijet transverse momentum balance and pseudorapidity distributions in pPb collisions at s_ NN= 5.02 s NN= 5.02\, TeV TeV",The European Physical Journal C,74,,1-26,2014,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Observation of the associated production of a single top quark and a W boson in pp collisions at s= 8 TeV,Physical review letters,112,23,231802,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for the standard model Higgs boson decaying to bottom quarks in pp collisions at s= 7 TeV,Physics Letters B,710,2,284-306,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Evidence for the 125 GeV Higgs boson decaying to a pair of τ leptons,Journal of High Energy Physics,2014,5,1-72,2014,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for New Physics with a Monojet and Missing Transverse Energy<? format?> in pp Collisions at s= 7 TeV,Physical review letters,107,20,201804,2011,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Searches for new physics using the tt¯ invariant mass distribution in pp collisions at s<? format?>=<? format?> 8 TeV,Physical review letters,111,21,211804,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for top-quark partners with charge 5/3 in the same-sign dilepton final state,Physical review letters,112,17,171801,2014,American Physical Society
"CMS Collaboration cms-publication-committee-chair@ cern. ch; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ",Measurement of the ratio of the inclusive 3-jet cross section to the inclusive 2-jet cross section in pp collisions at s=7\mathrmTeV and first determination of the strong coupling constant in the TeV range,The European Physical Journal C,73,,1-21,2013,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the inclusive jet cross section in pp collisions at s= 7 TeV,Physical Review Letters,107,13,132001,2011,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of isolated photon production in pp and PbPb collisions at sNN= 2.76 TeV,Physics Letters B,710,2,256-277,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the differential cross section for isolated prompt<? format?> photon production in pp collisions at 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",84,5,052011,2011,American Physical Society
"Abercrombie, Daniel; Akchurin, Nural; Akilli, Ece; Maestre, Juan Alcaraz; Allen, Brandon; Gonzalez, Barbara Alvarez; Andrea, Jeremy; Arbey, Alexandre; Azuelos, Georges; Azzi, Patrizia; ",Dark matter benchmark models for early LHC run-2 searches: report of the ATLAS/CMS dark matter forum,Physics of the Dark Universe,27,,100371,2020,Elsevier
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for a Vectorlike Quark with Charge 2/3 in t+ Z Events from pp Collisions at s= 7 TeV,Physical Review Letters,107,27,271802,2011,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of higher-order harmonic azimuthal anisotropy in PbPb collisions at s NN= 2.76 TeV,Physical Review C,89,4,044906,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for anomalous production of events with three or more leptons in pp collisions at s= 8 TeV,Physical Review D,90,3,032006,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for a Light Pseudoscalar Higgs Boson in the Dimuon Decay Channel<? format?> in pp Collisions at s<? format?>=<? format?> 7 TeV,Physical review letters,109,12,121801,2012,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for narrow resonances decaying to dijets in proton-proton collisions at s= 13 TeV,Physical review letters,116,7,071801,2016,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Searches for heavy Higgs bosons in two-Higgs-doublet models and for t→ ch decay using multilepton and diphoton final states in pp collisions at 8 TeV,Physical Review D,90,11,112013,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Evidence of b-jet quenching in PbPb collisions at s NN= 2.76 TeV,Physical review letters,113,13,132301,2014,American Physical Society
"CMS collaboration; ",Measurement of the weak mixing angle with the Drell-Yan process in proton-proton collisions at the LHC,arXiv preprint arXiv:1110.2682,,,,2011,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Measurements of differential jet cross sections in proton-proton collisions<? format?> at s<? format?>=<? format?> 7 TeV with the CMS detector,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",87,11,112002,2013,American Physical Society
"CMS collaboration; ",Measurement of the muon charge asymmetry in inclusive pp→ W+ X production at√ s= 7 TeV and an improved determination of light parton distribution functions,Physical Review D,90,3,032004,2014,American Physical Society
"CMS collaboration; ",Search for the Standard Model Higgs boson in the decay channel H to ZZ to 4 leptons in pp collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1202.1997,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the Pseudorapidity and Centrality Dependence of the Transverse Energy<? format?> Density in Pb-Pb Collisions at s NN= 2.76 TeV,Physical review letters,109,15,152303,2012,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ","Search for new physics in events with opposite-sign leptons, jets, and missing transverse energy in pp collisions at s= 7 TeV",Physics Letters B,718,3,815-840,2013,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Measurement of the W+ W− and ZZ production cross sections in pp collisions at s= 8 TeV,Physics Letters B,721,4-5,190-211,2013,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Measurement of the single-top-quark t-channel cross section in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,12,1-47,2012,Springer-Verlag
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Observation of a new Ξ b baryon,Physical review letters,108,25,252002,2012,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for pair produced fourth-generation up-type quarks in pp collisions at s= 7 TeV with a lepton in the final state,Physics Letters B,718,2,307-328,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of jet fragmentation in PbPb and pp collisions at s NN= 2.76 TeV,Physical Review C,90,2,024908,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for a W′ boson decaying to a bottom quark and a top quark in pp collisions at s= 7TeV,Physics Letters B,718,4-5,1229-1251,2013,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for top squark and higgsino production using diphoton Higgs boson decays,Physical review letters,112,16,161802,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for pair production of first-and second-generation scalar leptoquarks<? format?> in pp collisions at s<? format?>=<? format?> 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",86,5,052013,2012,American Physical Society
"CMS collaboration; ",Search for Z′ resonances decaying to tt in dilepton+ jets final states in pp collisions at√ s= 7 TeV,Physical Review D,87,7,072002,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ","Search for physics beyond the standard model in events with a Z boson, jets, and missing transverse energy in pp collisions at s= 7 TeV",Physics Letters B,716,2,260-284,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for same-sign top-quark pair production at $\sqrt {s}= 7$ TeV and limits on flavour changing neutral currents in the top sector,Journal of High Energy Physics,2011,8,1-27,2011,Springer-Verlag
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for Top Squarks in R-Parity-Violating Supersymmetry Using Three<? format?> or More Leptons and b-Tagged Jets,Physical review letters,111,22,221801,2013,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for vectorlike charge 2/3 T quarks in proton-proton collisions at (s)= 8 TeV,Physical Review D,93,1,012003,2016,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for Pair Production of Third-Generation Leptoquarks and Top Squarks<? format?> in pp Collisions at s<? format?>=<? format?> 7 TeV,Physical review letters,110,8,081801,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ","Search for heavy, top-like quark pair production in the dilepton final state in pp collisions at s= 7TeV",Physics Letters B,716,1,103-121,2012,North-Holland
"collaboration, CMS; ",Event generator tunes obtained from underlying event and multiparton scattering measurements,European Physical Journal C,76,3,155,2016,Springer
"CMS collaboration; TOTEM Collaboration; ",Measurement of pseudorapidity distributions of charged particles in proton-proton collisions at sqrt (s)= 8 TeV by the CMS and TOTEM experiments,arXiv preprint arXiv:1405.0722,,,,2014,
"collaboration, CMS; ",Measurement of the top quark mass using proton-proton data at sqrt (s)= 7 and 8 TeV,Phys. Rev. D,93,072004,,2016,Physical Review D
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for three-jet resonances in pp collisions at s= 7 TeV,Physical review letters,107,10,101801,2011,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for heavy lepton partners of neutrinos in proton–proton collisions in the context of the type III seesaw mechanism,Physics Letters B,718,2,348-368,2012,North-Holland
"CMS collaboration; ",Search for monotop signatures in proton-proton collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1410.1149,,,,2014,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for pair-produced dijet resonances in four-jet final states in pp collisions at s<? format?>=<? format?> 7 TeV,Physical review letters,110,14,141802,2013,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the mass difference between top and antitop quarks,Journal of High Energy Physics,2012,6,1-36,2012,Springer Berlin Heidelberg
